Genes	Expr
mcdip	0.00951327176188608
qotfg	0.486482877593515
ibgaj	0.346095639223855
yjwts	0.15273429717823
iwlke	0.74242179416514
rphbj	0.859869424402317
ldswo	2.0002032084378
sivno	0.48214125020872
maysj	1.62804148458103
oyscj	0.530684864969564
dbtca	0.234091767386147
uladf	0.544801959758389
eamjk	0.291244968869104
aryue	0.0146787769448276
ethsl	0.986538195964254
eywfn	1.50481139249951
pnwoy	2.32712082955151
mzqwi	0.893503788377
rqgxc	2.00077597597826
wbyzs	0.817844162528084
mspzi	0.535698516756081
mflgh	0.888248522899041
wqijm	0.296018600159223
wcfak	0.700383847473902
mkaif	0.410780331151382
hvpgx	1.35348496844264
kjgmz	0.285872627013515
hoisl	0.659965183142793
mubcg	0.528015935687506
xwtjg	0.291235962573259
gsfeq	0.136266542875813
jwhvp	0.953241467035873
kqmwy	0.677077679962646
qcuex	1.23993976359131
wehjb	1.82717156561606
ysjiw	0.578950455126101
oyuxm	0.288077317991705
usgwh	0.885866354820615
ofjnu	0.0505018248077555
fgxks	0.969984170571491
puyvl	1.55468769753576
lhfat	1.74244062410495
skqhv	0.572705426239383
dnasj	0.758566539752506
xbhvy	1.64194907098174
ewzan	0.710314520571189
nuckl	0.855009484880786
tvgln	0.518985302628248
sijpm	0.418190520824132
dwtpc	0.807864958902647
velmj	0.311761373041007
gmhlp	0.00754044559557206
abgtm	0.549593624478
hkzrt	1.66986130072505
ruxgq	1.29157105399476
crbth	0.845755056781349
ehnmz	0.857195758745687
kjshy	0.659472185425524
dnljz	1.55528602058782
vzfcd	0.520502019388296
sjcux	1.65758266236771
rkfgn	1.07937606249211
mhslt	0.555256642778618
trvxf	0.30201031406844
apkbr	0.550104797147459
ipxrd	0.771364519268793
shetr	2.29827816664454
sjghx	0.20690250690833
chonf	1.17762819289255
gjfdx	1.33130638945794
ugrvk	1.42349048694243
ianvh	0.569557256130639
koqaz	0.408161166510419
jixqt	1.53414454575069
iqdwp	0.500855928713415
lgdnz	1.18718750975349
irjyd	1.81722810711413
hufqp	0.88227874347446
wxbtd	0.49938611721936
nvbex	1.47373999438197
egblu	0.903253635070796
ipnth	1.54061689241335
kyfuh	0.994634401071789
mofrg	0.985334052201884
mxkcl	0.116591086697542
fwayk	1.19909431835805
zqwhd	0.796939127459247
watkn	0.814694052523435
ycbum	0.754978650374598
sgvjx	1.46534305177155
bdrjk	0.580137090240084
cnodm	0.473583356027745
lnuso	1.26921946723496
vtndp	1.29103469430359
qhtwi	1.39925738505088
lbuqp	1.41960236129411
csgmp	0.631907048911629
cmhxk	2.7082647303748
ihbeu	0.326192989405893
wshyq	0.568353326681006
zqdrj	0.524673621790213
nwrqt	1.53078255876141
fvrdm	2.51427372844429
lfmap	0.914327555541973
xictn	1.12234771541007
jknvq	0.82893425880314
bzxfp	1.10724155877775
qoyrm	0.38831080536919
fapyo	0.128317263434553
eviwo	1.25122862249361
fvipy	0.248288103120189
fzwph	1.51027842260351
lvpxk	0.0358923023459878
kdhxe	0.0313177063818345
ndfgc	0.787210132296893
dphye	0.107281745114954
osjyi	0.00680880283366395
glzuv	0.53532313188171
bpyrd	1.13887349506302
olnte	2.0090570539795
uxzdk	0.0413450645058923
fmrcj	0.489438208260782
qdbja	1.28935012515566
hzjyo	0.101769682196088
ngzop	0.303604064867555
kfxgn	0.138819433121234
umbxg	0.254283469003023
ubhig	1.65302213911513
ycgfj	1.80719673729534
tjlfn	1.23641533450272
tzmqf	0.180599190399322
aduiz	1.67852041311337
bigmy	0.0726593092706038
ngpyj	0.00152255087183277
zrevc	0.912575519261812
dfwqm	1.04912259982603
ufzln	1.05062058981069
ovicr	0.296817061502354
nzrdv	1.43913881318544
jycuq	0.37350495601694
gcmow	0.843166073923508
fwtsc	0.594382729956581
iulpz	1.5247305089211
ghsfp	1.70460854661545
mwgfj	1.26081165973764
rtmsc	0.950384762492278
otlnu	1.02933441857791
fzwte	1.19436922885841
hslvu	0.901575129697884
guitm	0.654803920491097
rjitc	0.159450422876228
getjv	0.15528758291441
kgtum	1.08511713976378
mkvyw	0.509282863971132
mjvyg	2.67921129595275
pthca	0.532180373256077
srfiy	0.87422707238277
qhbxa	0.327797388003961
xoamd	0.00933131880098321
vjpci	0.290221944913008
lroag	0.641160728586914
vapgq	0.644674297333303
ikuwv	1.15816700568039
kjacm	0.116797625419044
licok	0.500123746826513
zmuts	1.26174660538836
itvhm	0.0743237413436592
gtvwb	0.486933110355521
evdip	0.651341268456071
ekxdn	1.05871577181217
acywu	1.56822338672658
egrox	2.26407032891308
wqkjy	1.39283808811863
wusei	0.502147479319851
gzbnl	0.215187665980191
getaw	1.94217523978995
mtzkl	0.365173234586872
wqget	0.523382469345068
yfiqx	0.501678349554146
bgwsi	0.770677224661803
druec	0.00112319783673836
gyjqx	0.228021014057334
roqbv	1.77948778729964
uibok	0.394463945494839
iyajt	0.173802712661809
hmlnx	0.674190826007822
jmslf	1.04102117406225
veoac	0.0860870195317401
snmtd	1.2255769979887
hkzal	1.4971494069326
jgexb	0.721744596854735
sbrno	0.878828098142066
yrwms	0.485187681733562
skchn	0.0388493996821279
hefxl	0.42620607276636
ntgur	0.241808443832701
khnyg	0.973614268236325
afbuk	1.13433465293088
lemhs	0.0922192087612382
usglm	0.159617934488166
psudo	0.232721533344248
jeitc	0.582908132316216
qebyw	0.261712643728377
wzjqn	0.0805963935543121
uizds	1.03978422881917
brlap	1.23865463220008
hwnla	0.765528435205725
rkmal	0.817358269275109
xeroh	1.24401020374153
squjc	0.742972647151688
livrz	0.0676857982806248
iylpu	0.57198507830716
bmfcu	0.995026995984247
buoda	0.642774210414094
iredz	0.587070028573103
bjrod	0.550863193327414
crnuo	0.506691154792668
aqloj	2.59002776664297
osezq	0.72365433068537
mdqig	1.52765816823145
tknlp	0.128596521482384
khmjn	2.17319203357509
tuasq	1.40175150067951
fgdve	0.452637141948762
kpoxn	0.339892071911452
vtsif	0.288227960453668
sukaq	0.0251838464318205
zyrqx	0.782617718090269
vgmqx	1.00128396310219
xsedp	0.354746795913014
myail	1.2943045455418
kvehs	0.224665810917251
yicjg	0.759320193858149
vgjot	1.45023530587414
wyhtr	1.25840220430708
czpts	0.401232060583074
szfeb	0.93535887466038
smbfc	1.12751555644284
bpyfs	1.07856176083581
otxfe	0.196062837159611
zpuxq	1.71640087075948
ghsdt	0.989684224206417
envjs	0.202742193026107
xvknp	0.454828279934775
rdbyn	0.0805371383853824
pbdta	0.40263023606258
habec	0.718922868579984
vyagp	0.661656903515371
nhies	0.976508084884226
wxpyk	0.639137444789002
xzlte	0.0337683791710783
kiwaz	0.369372161297172
jrxwa	0.61060456565439
ozxut	0.52579858080915
zovad	1.59151010412244
dbctx	0.99324554246434
emvdz	0.199285967691139
lrswi	0.541302152193572
gqnya	0.467025338594761
apfwh	0.971895895624567
jyprf	1.84411324971075
qdpji	0.246305334690309
vpwzy	0.579305035253597
syjgr	0.859077013514424
ovkcj	0.27715554133874
snpum	1.67415948134672
ubvap	1.14954112247086
igstq	0.520746192027158
vdqfb	0.173343445120672
hisxt	1.25544773229311
bunve	0.804425156186551
frwze	0.342726120962792
elibx	0.489908224638823
gqhfb	0.91729073168913
szcbk	1.08571927617183
pwajh	0.214601946245758
ryhvb	1.09260209471168
ymkcx	2.31121032879707
lzpkr	0.151223361786454
jegai	1.04198762018266
vwyds	0.709620838944995
dqvfm	0.575933197933698
gilfh	0.471289206235993
mzcjy	0.920985028298675
mshjw	1.56246661121673
uqrth	0.759867820252832
cqnvz	0.879511927987545
lwcsz	1.45005303754908
yvnkf	0.31208269517522
ojspv	0.243922390752136
vlija	1.58365115578144
ylzag	0.787842853948183
mirub	0.350736695945842
vrfsp	1.35773920324498
nitbu	2.02661799303775
scnhi	0.723277155928293
jrhcn	0.215317288543235
hjisu	0.00687115100377549
klyzb	0.785822297046612
aktwf	0.457643977861802
cbdim	1.09602312636019
fkzsb	2.22449827165628
hmqkr	1.3905065594902
