Genes	Expr
mcdip	0.155433524816844
qotfg	0.155349456375794
ibgaj	0.742094372366313
yjwts	0.0736048808724369
iwlke	1.52581171217737
rphbj	1.9845882784002
ldswo	1.1856985815933
sivno	0.260499693511754
maysj	0.0355682034994277
oyscj	0.403712900217901
dbtca	0.643483466167981
uladf	0.17544142710964
eamjk	0.236777138642999
aryue	0.270857857043392
ethsl	0.413515980947171
eywfn	0.751420543567651
pnwoy	0.240639686215118
mzqwi	0.884856901769609
rqgxc	0.0873580684197201
wbyzs	0.0162390493607782
mspzi	0.828433872138749
mflgh	0.159246831964862
wqijm	0.562555804845972
wcfak	1.11353486433833
mkaif	0.386110301742753
hvpgx	0.797137524268715
kjgmz	1.52000637398472
hoisl	1.27108725789505
mubcg	0.878018648774382
xwtjg	0.0741897813592041
gsfeq	0.343649783752929
jwhvp	1.27927617144404
kqmwy	1.34147217276618
qcuex	0.955294210678791
wehjb	1.73236246291431
ysjiw	0.555741573113475
oyuxm	0.91759154638405
usgwh	1.73160525128559
ofjnu	0.201480544923257
fgxks	1.5923450869337
puyvl	1.25072978447131
lhfat	0.274544792777449
skqhv	0.952675824847001
dnasj	0.58935959417693
xbhvy	1.07177261818304
ewzan	0.317147813549253
nuckl	0.73545459805624
tvgln	0.103311418034137
sijpm	1.18270768735857
dwtpc	0.457912174989818
velmj	0.156398281032515
gmhlp	0.709143792655156
abgtm	0.255319211492304
hkzrt	0.527300770535979
ruxgq	1.2372312280343
crbth	0.277353612803456
ehnmz	0.100618871626193
kjshy	0.524356788902784
dnljz	0.186508150390124
vzfcd	1.40568335856221
sjcux	0.782680459565564
rkfgn	0.818913796535965
mhslt	0.264673461967521
trvxf	0.307872299164368
apkbr	0.580872132829126
ipxrd	1.41244608433414
shetr	1.72164198579925
sjghx	0.0456803742639919
chonf	0.969395399671121
gjfdx	0.594849227216926
ugrvk	0.467460069817335
ianvh	0.200236904311833
koqaz	1.71199176917842
jixqt	0.754577734651599
iqdwp	1.12657926319065
lgdnz	0.892793993060476
irjyd	0.618672362406853
hufqp	0.550935499117681
wxbtd	0.266403753618255
nvbex	1.30501542593528
egblu	0.238967653711107
ipnth	1.71001946098349
kyfuh	1.60436475526493
mofrg	0.952809228090377
mxkcl	2.08271107325798
fwayk	0.269542860684695
zqwhd	1.22439205503743
watkn	0.185518698986818
ycbum	2.12868634712835
sgvjx	0.0851924055458789
bdrjk	0.166417485953189
cnodm	1.09433541303431
lnuso	0.956472174524785
vtndp	0.295497253655315
qhtwi	0.354892953970753
lbuqp	1.86226788715439
csgmp	0.846982861513147
cmhxk	0.0251388760919258
ihbeu	1.44384109481856
wshyq	0.148306707514594
zqdrj	0.986896701436459
nwrqt	0.749481508534941
fvrdm	0.365117249292452
lfmap	0.531406208074688
xictn	1.49115760391563
jknvq	1.40370418838801
bzxfp	0.622557903155752
qoyrm	0.46022132734348
fapyo	1.37462563880686
eviwo	0.600482436850134
fvipy	1.92369575763517
fzwph	1.40007413445863
lvpxk	0.447518371486767
kdhxe	0.285469933812225
ndfgc	0.489990549574066
dphye	0.631666123365615
osjyi	0.0782447994238637
glzuv	1.78073944745376
bpyrd	1.42863322251827
olnte	0.967668450003773
uxzdk	0.808519567353009
fmrcj	0.725525318853394
qdbja	0.598836830921085
hzjyo	0.0922213179629602
ngzop	0.481039710840694
kfxgn	0.210817583468285
umbxg	0.151529661495143
ubhig	0.14491465693477
ycgfj	1.38491907480893
tjlfn	1.17237944301267
tzmqf	0.243889507447228
aduiz	0.742763474905038
bigmy	0.920101541979336
ngpyj	1.5081255610086
zrevc	0.305900920120857
dfwqm	0.0836070087343077
ufzln	0.603656620967374
ovicr	0.702434339229021
nzrdv	1.26637911614051
jycuq	0.790207446322013
gcmow	0.203107033818662
fwtsc	2.27675932972716
iulpz	0.447936958359344
ghsfp	0.365648949521221
mwgfj	0.79606796802137
rtmsc	0.672019383335054
otlnu	1.43494053973394
fzwte	0.126724644505908
hslvu	0.401490178545887
guitm	0.746115244898393
rjitc	1.43361628268611
getjv	0.888214258747585
kgtum	1.84073250260698
mkvyw	0.211112390006809
mjvyg	0.926940799217293
pthca	0.32347212056662
srfiy	0.617129312110192
qhbxa	0.467203711781923
